territory_id,state,year,x3_farming,x4_non_vegetated_area,x1_forest,x2_non_forest_natural_formation,x5_water,non_observed
1500909,PA,2019,29297.1539259311,439.677164355463,70504.077078933,746.180262530517,3527.18001451421,27.4414413146973
1500958,PA,2000,70106.5357827867,129.717599353028,109300.012714398,25.1030322143555,1626.26662302857,
1500958,PA,2001,69358.2016884646,125.607707012939,110061.212156428,22.6017120544434,1620.01248781739,
1500958,PA,2002,71065.9469943588,130.431834234619,108463.076003671,28.4971822509766,1499.68373726196,
1500958,PA,2003,76763.6788658084,272.573093096923,102491.34682952,26.5318209533691,1633.50514240113,
1500958,PA,2004,84487.1401340916,153.481686517335,94877.8661229092,27.7826799255371,1641.36512833863,
1500958,PA,2005,89850.6664929127,140.616812640382,89597.0635409354,28.9440787597656,1570.34482652588,
1500958,PA,2006,95358.4212593424,165.543205859376,84042.9431898443,28.3189691223145,1592.4091276001,
1500958,PA,2007,99091.3465029656,293.119193475343,80088.2813205432,32.3392586303711,1682.54947615967,
1500958,PA,2008,102377.913695458,181.266033935547,76941.7991097851,27.336096496582,1659.32081610107,
1500958,PA,2009,103320.318542287,145.35119706421,76006.7226909504,31.9813084472656,1683.2620130188,
1500958,PA,2010,102697.482381376,152.319226385499,76676.1883255809,53.8669870666504,1607.77883135986,
1500958,PA,2011,99720.365281882,149.460697375489,79660.4555698975,71.9119302978516,1585.44227232666,
1500958,PA,2012,97820.4761598662,162.32558869629,81484.145372609,29.7475029113769,1690.94112769165,
1500958,PA,2013,100029.767286568,157.76932798462,79396.1660344479,28.7647916687012,1575.1683111084,
1500958,PA,2014,100760.083063514,160.181556573487,78646.0168780075,28.9437750366211,1592.4104786438,
1500958,PA,2015,102384.051118827,168.400787872315,76984.1699247865,22.2440689147949,1628.76985136719,
1500958,PA,2016,106774.517263335,170.187336389161,72543.3211046784,20.9935335083008,1678.61651385498,
1500958,PA,2017,105687.327555802,192.433641833498,73597.8138458444,24.2985548400879,1685.76215344238,
1500958,PA,2018,99209.452658592,182.337390850831,80080.3366940681,18.5811327941895,1696.92787546997,
1500958,PA,2019,101814.201827474,179.478320825196,77555.3665140961,28.0500852172852,1610.5390041626,
1501006,PA,2000,43178.074075458,0.0,1595668.80880033,793.727391168213,67825.5511862554,
1501006,PA,2001,38653.3642392095,0.0,1600505.57975351,773.365930053711,67533.8515304689,
1501006,PA,2002,41520.4573354066,0.0,1596398.26148754,720.281042047119,68827.1615882329,
1501006,PA,2003,40876.2204472296,0.0,1597333.94767578,802.733796142578,68453.2595340688,
1501006,PA,2004,39268.5368978824,0.0,1598188.72994576,780.064287152099,69228.8303224488,
1501006,PA,2005,42972.7506610295,0.0,1594847.93611393,905.762262731933,68739.7124155511,
1501006,PA,2006,47649.9402334297,0.0,1590376.7731923,861.791984625245,68577.6560428432,
1501006,PA,2007,50816.7222961853,37.2956222229003,1586909.41737443,924.710390289308,68778.0157700556,
1501006,PA,2008,52503.2703046552,38.0094251464843,1583909.67342691,713.500554449463,70301.7077419925,
1501006,PA,2009,56695.858099466,38.0094251464843,1579550.62078004,776.252051879883,70405.421096619,
1501006,PA,2010,61968.7288012679,45.6828146057129,1577263.2971812,873.129941046143,67315.3227150008,
1501006,PA,2011,64035.065862913,46.5750722351074,1574250.13410515,1127.63801693726,68006.7483958657,
1501006,PA,2012,61034.6880723361,46.5750722351074,1576067.69062546,1188.22957513428,69128.9781079643,
1501006,PA,2013,57513.9882625281,46.5750722351074,1578958.08688154,751.707150665283,70195.8040861753,
1501006,PA,2014,57048.5623795507,46.6642975036621,1577305.79275434,706.913279760743,72358.2287419921,
1501006,PA,2015,58839.8663013401,47.7350041137695,1577162.56403621,789.812107659913,70626.1840038371,
1501006,PA,2016,61569.7214971906,47.645778540039,1576173.59570723,773.567369763184,68901.6311004026,
1501006,PA,2017,63405.4523169222,47.645778540039,1572895.45359542,723.511553149413,70394.0982090888,
1501006,PA,2018,66135.0802985251,50.2333161254883,1571570.4600804,1478.53363536988,68231.8541226857,
1501006,PA,2019,63181.1456830416,50.7686051879883,1571967.57038711,737.165121166992,71529.5116566084,
1501105,PA,2000,4954.42163576053,48.7849294433594,405626.601370725,3140.36636750486,25963.7043104678,
1501105,PA,2001,4258.40090153202,55.9329050109865,406069.358132273,3162.96846224364,26187.2182128415,
1501105,PA,2002,3701.5328525513,58.7027437683107,407535.916560416,3084.08218955078,25353.6442676139,
1501105,PA,2003,3595.19987937623,65.2252809326172,406928.095036071,3051.74575518797,26093.6126623292,
1501105,PA,2004,3430.82423529665,68.2631701904295,407294.439837667,2962.94532165525,25977.4060490907,
1501105,PA,2005,3367.35801806031,69.2460185302733,407203.909490423,2882.26799421995,26211.0970926638,
1501105,PA,2006,3874.54778216555,79.5212437499997,406875.86197775,2862.07535307005,26041.8722571653,
1501105,PA,2007,4077.57196688235,87.1159765747067,406329.49234856,2830.27164818114,26409.4266736999,
1501105,PA,2008,4872.39676470337,89.6177710937496,405758.45718197,2868.86026482543,26144.5466313114,
1501105,PA,2009,5424.18018852537,91.1367176574704,404891.950104325,3016.62789579467,26309.9837075993,
1501105,PA,2010,6434.90478347776,92.476965570068,403787.742366418,2949.6277700195,26469.1267284189,
1501105,PA,2011,6713.73051329345,93.0130637878415,403848.877176963,2933.54792761839,26144.7099322451,
1501105,PA,2012,5169.42490838011,94.5320121093747,405150.72559341,2840.63946762082,26478.5566323735,
