sigla,nome_munic,geocodig_m,imoveis_car,area_car
BA,Campo Alegre De Lourdes,2905909,1457,59349.9206
BA,Campo Formoso,2906006,2399,97419.9992
BA,Canápolis,2906105,1248,24589.1011
BA,Canarana,2906204,1976,20923.9557
BA,Canavieiras,2906303,263,32162.0121
BA,Candeal,2906402,550,3824.4863
BA,Candeias,2906501,28,2570.2097
BA,Candiba,2906600,1966,21621.7225
BA,Cândido Sales,2906709,812,273195.2541
BA,Cansanção,2906808,2791,35329.3576
BA,Canudos,2906824,1173,57406.6046
BA,Capela Do Alto Alegre,2906857,2143,32317.511
BA,Capim Grosso,2906873,836,11330.2749
BA,Caraíbas,2906899,1251,26838.3447
BA,Caravelas,2906907,778,152985.3243
BA,Cardeal Da Silva,2907004,111,11917.2847
BA,Carinhanha,2907103,1720,102106.7502
BA,Casa Nova,2907202,4369,278456.2654
BA,Castro Alves,2907301,1250,21520.0915
BA,Catolândia,2907400,306,15943.6313
BA,Catu,2907509,624,12900.7305
BA,Caturama,2907558,1445,17176.5673
BA,Central,2907608,1329,11969.5333
BA,Chorrochó,2907707,40,3544.4263
BA,Cícero Dantas,2907806,2675,28960.5569
BA,Cipó,2907905,1087,6934.947
BA,Coaraci,2908002,81,4483.1381
BA,Cocos,2908101,2245,531890.3022
BA,Conceição Da Feira,2908200,331,1997.0345
BA,Conceição Do Almeida,2908309,1085,8574.6545
BA,Conceição Do Coité,2908408,2906,17664.9697
BA,Conceição Do Jacuípe,2908507,110,1872.2864
BA,Conde,2908606,175,38833.1904
BA,Condeúba,2908705,1868,35329.6507
BA,Contendas Do Sincorá,2908804,130,10193.1648
BA,Coração De Maria,2908903,1342,11395.7699
BA,Cordeiros,2909000,1236,24533.8825
BA,Coribe,2909109,1619,107023.3204
BA,Coronel João Sá,2909208,1473,32488.4041
BA,Correntina,2909307,5764,844283.9177
BA,Cotegipe,2909406,934,204694.7678
BA,Cravolândia,2909505,142,6091.4043
BA,Crisópolis,2909604,2390,18030.0666
BA,Cristópolis,2909703,1618,57565.7048
BA,Cruz Das Almas,2909802,706,1949.4626
BA,Curaçá,2909901,2331,64339.252
BA,Dário Meira,2910008,220,8203.3381
BA,Dias D'Ávila,2910057,45,1905.9879
BA,Dom Basílio,2910107,2336,29060.8825
BA,Dom Macedo Costa,2910206,535,3797.2993
BA,Elísio Medrado,2910305,798,6915.6508
BA,Encruzilhada,2910404,1051,66769.3631
BA,Entre Rios,2910503,439,68125.7913
BA,Érico Cardoso,2900504,1433,12873.0394
BA,Esplanada,2910602,453,65803.1131
BA,Euclides Da Cunha,2910701,5229,45566.1363
BA,Eunápolis,2910727,564,90707.5457
BA,Fátima,2910750,2872,14653.7077
BA,Feira Da Mata,2910776,510,44970.991
BA,Feira De Santana,2910800,5384,19130.2072
BA,Filadélfia,2910859,930,10668.4373
BA,Firmino Alves,2910909,156,7649.0283
BA,Floresta Azul,2911006,272,9552.804
BA,Formosa Do Rio Preto,2911105,3576,1198609.1752
BA,Gandu,2911204,87,3370.012
BA,Gavião,2911253,504,10167.7991
BA,Gentio Do Ouro,2911303,1159,100845.3032
BA,Glória,2911402,2979,15705.5827
BA,Gongogi,2911501,34,9189.4995
BA,Governador Mangabeira,2911600,306,1339.1298
BA,Guajeru,2911659,2150,34413.5816
BA,Guanambi,2911709,2899,45480.7332
BA,Guaratinga,2911808,480,80566.3103
BA,Heliópolis,2911857,838,6843.1223
BA,Iaçu,2911907,1170,75210.4838
BA,Ibiassucê,2912004,2025,25200.356
BA,Ibicaraí,2912103,319,6403.4166
BA,Ibicoara,2912202,1256,38540.4909
BA,Ibicuí,2912301,331,37842.4687
BA,Ibipeba,2912400,1296,17973.1091
BA,Ibipitanga,2912509,2248,37888.6401
BA,Ibiquera,2912608,351,31219.1019
BA,Ibirapitanga,2912707,189,5867.8015
BA,Ibirapuã,2912806,752,61943.1409
BA,Ibirataia,2912905,375,6545.0562
BA,Ibitiara,2913002,1418,30513.3341
BA,Ibititá,2913101,2397,25212.5278
BA,Ibotirama,2913200,604,38470.9216
BA,Ichu,2913309,644,2025.2521
BA,Igaporã,2913408,1802,39654.1083
BA,Igrapiúna,2913457,379,14195.6417
BA,Iguaí,2913507,798,23931.9556
BA,Ilhéus,2913606,1104,32359.1465
BA,Inhambupe,2913705,2104,49899.9279
BA,Ipecaetá,2913804,647,4909.3795
BA,Ipiaú,2913903,59,2616.4922
BA,Ipirá,2914000,3276,101068.3637
BA,Ipupiara,2914109,764,13072.4662
BA,Irajuba,2914208,402,14871.2165
BA,Iramaia,2914307,432,57886.1957
BA,Iraquara,2914406,2300,34076.4519
BA,Irará,2914505,1753,4802.4494
BA,Irecê,2914604,217,5164.1797
BA,Itabela,2914653,317,45099.3563
BA,Itaberaba,2914703,1454,86182.3824
